run_key,seed,epoch,metric,value
no_gate_config2_L4,192,2,train_ppl_no_gate,82.35073300850308
no_gate_config2_L4,192,3,train_ppl_no_gate,58.40482160243286
no_gate_config2_L4,192,4,train_ppl_no_gate,44.09583811076156
no_gate_config2_L4,192,5,train_ppl_no_gate,34.61754840248808
no_gate_config2_L4,192,0,val_ppl_no_gate,198.61266563374775
no_gate_config2_L4,192,1,val_ppl_no_gate,145.49751683208896
no_gate_config2_L4,192,2,val_ppl_no_gate,131.660976266061
no_gate_config2_L4,192,3,val_ppl_no_gate,130.33664588605635
no_gate_config2_L4,192,4,val_ppl_no_gate,133.807417332826
no_gate_config2_L4,192,5,val_ppl_no_gate,146.62177640299743
no_gate_config3_L4,42,0,train_loss_no_gate,5.8930393717551635
no_gate_config3_L4,42,1,train_loss_no_gate,4.89207654635785
no_gate_config3_L4,42,2,train_loss_no_gate,4.421478316061577
no_gate_config3_L4,42,3,train_loss_no_gate,4.084246341707343
no_gate_config3_L4,42,4,train_loss_no_gate,3.8121823047177266
no_gate_config3_L4,42,5,train_loss_no_gate,3.5801624489032617
no_gate_config3_L4,42,0,val_loss_no_gate,5.310875054133141
no_gate_config3_L4,42,1,val_loss_no_gate,4.9829474485526655
no_gate_config3_L4,42,2,val_loss_no_gate,4.887092005398314
no_gate_config3_L4,42,3,val_loss_no_gate,4.871498607983024
no_gate_config3_L4,42,4,val_loss_no_gate,4.884990052651551
no_gate_config3_L4,42,5,val_loss_no_gate,4.951845925743297
no_gate_config3_L4,42,0,train_ppl_no_gate,362.5054003696331
no_gate_config3_L4,42,1,train_ppl_no_gate,133.22994516064202
no_gate_config3_L4,42,2,train_ppl_no_gate,83.21921877648128
no_gate_config3_L4,42,3,train_ppl_no_gate,59.39715571922061
no_gate_config3_L4,42,4,train_ppl_no_gate,45.24907847375723
no_gate_config3_L4,42,5,train_ppl_no_gate,35.87936893780014
no_gate_config3_L4,42,0,val_ppl_no_gate,202.52737328622462
no_gate_config3_L4,42,1,val_ppl_no_gate,145.9037924314789
no_gate_config3_L4,42,2,val_ppl_no_gate,132.56750738761588
no_gate_config3_L4,42,3,val_ppl_no_gate,130.51636327504823
no_gate_config3_L4,42,4,val_ppl_no_gate,132.2891494014846
no_gate_config3_L4,42,5,val_ppl_no_gate,141.43580309249262
no_gate_config3_L4,113,0,train_loss_no_gate,5.894623088382058
no_gate_config3_L4,113,1,train_loss_no_gate,4.889254106177112
no_gate_config3_L4,113,2,train_loss_no_gate,4.419635352568101
no_gate_config3_L4,113,3,train_loss_no_gate,4.082762875799405
no_gate_config3_L4,113,4,train_loss_no_gate,3.813496188718384
no_gate_config3_L4,113,5,train_loss_no_gate,3.5814172987968234
no_gate_config3_L4,113,0,val_loss_no_gate,5.298761282937002
no_gate_config3_L4,113,1,val_loss_no_gate,4.987193951162241
no_gate_config3_L4,113,2,val_loss_no_gate,4.889775998511557
no_gate_config3_L4,113,3,val_loss_no_gate,4.864968241271326
no_gate_config3_L4,113,4,val_loss_no_gate,4.892913625401966
no_gate_config3_L4,113,5,val_loss_no_gate,4.951197662595975
no_gate_config3_L4,113,0,train_ppl_no_gate,363.07996105009835
no_gate_config3_L4,113,1,train_ppl_no_gate,132.85444177733848
no_gate_config3_L4,113,2,train_ppl_no_gate,83.06599003517911
no_gate_config3_L4,113,3,train_ppl_no_gate,59.30910738817849
no_gate_config3_L4,113,4,train_ppl_no_gate,45.30856958766151
no_gate_config3_L4,113,5,train_ppl_no_gate,35.92442042060531
no_gate_config3_L4,113,0,val_ppl_no_gate,200.08880298688533
no_gate_config3_L4,113,1,val_ppl_no_gate,146.52469065670962
no_gate_config3_L4,113,2,val_ppl_no_gate,132.92379558813604
no_gate_config3_L4,113,3,val_ppl_no_gate,129.66682049304617
no_gate_config3_L4,113,4,val_ppl_no_gate,133.34151584601122
no_gate_config3_L4,113,5,val_ppl_no_gate,141.34414518606727
no_gate_config3_L4,192,0,train_loss_no_gate,5.894008889541787
no_gate_config3_L4,192,1,train_loss_no_gate,4.893813997507095
no_gate_config3_L4,192,2,train_loss_no_gate,4.422980277341301
no_gate_config3_L4,192,3,train_loss_no_gate,4.085756099703959
no_gate_config3_L4,192,4,train_loss_no_gate,3.8138098913734244
no_gate_config3_L4,192,5,train_loss_no_gate,3.5808728200904394
no_gate_config3_L4,192,0,val_loss_no_gate,5.2911551382582065
no_gate_config3_L4,192,1,val_loss_no_gate,4.975229657302468
no_gate_config3_L4,192,2,val_loss_no_gate,4.869670190043369
no_gate_config3_L4,192,3,val_loss_no_gate,4.847604740474184
no_gate_config3_L4,192,4,val_loss_no_gate,4.874651118860406
no_gate_config3_L4,192,5,val_loss_no_gate,4.949569926423542
